,VideoID,Attention,Mediation,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,age,gender
12715,9.0,30.0,34.0,107889.0,24256.0,19829.0,11987.0,3349.0,54703.0,1933.0,840.0,24,0
12411,6.0,26.0,63.0,1350875.0,209735.0,28187.0,41961.0,63260.0,54356.0,27158.0,6263.0,24,0
2616,0.0,53.0,83.0,9350.0,11035.0,11967.0,5926.0,4006.0,3915.0,2849.0,1666.0,31,1
7153,5.0,35.0,57.0,1294399.0,349583.0,97296.0,29548.0,13383.0,32262.0,12552.0,3770.0,24,1
46,0.0,74.0,69.0,18823.0,6577.0,10996.0,5618.0,7642.0,30823.0,13718.0,9248.0,25,1
1149,9.0,37.0,54.0,1181348.0,243923.0,57290.0,111143.0,97610.0,32378.0,78441.0,28547.0,25,1
6554,0.0,44.0,35.0,228974.0,110456.0,14260.0,11052.0,8824.0,17029.0,7484.0,2334.0,24,1
8833,8.0,0.0,0.0,1003875.0,558559.0,6643.0,16392.0,18846.0,16659.0,14192.0,7245.0,24,1
8486,5.0,0.0,0.0,1732442.0,315915.0,98447.0,122321.0,101663.0,106013.0,123758.0,63401.0,24,1
765,5.0,47.0,74.0,1574397.0,664050.0,66896.0,49202.0,30897.0,75425.0,54298.0,27169.0,25,1
8360,4.0,0.0,0.0,55461.0,29185.0,18405.0,2139.0,8569.0,94784.0,27558.0,20260.0,24,1
4344,3.0,0.0,0.0,789438.0,279822.0,11346.0,47424.0,30211.0,271500.0,3838.0,4074.0,28,0
1566,2.0,44.0,50.0,275527.0,35356.0,24005.0,5359.0,5242.0,4727.0,2719.0,1495.0,24,1
4092,1.0,61.0,54.0,400496.0,123729.0,27482.0,24492.0,29873.0,11833.0,8896.0,10808.0,28,0
4394,4.0,20.0,43.0,1841638.0,267668.0,19552.0,10178.0,45714.0,6908.0,5240.0,2539.0,28,0
6727,1.0,54.0,24.0,168434.0,79879.0,4566.0,6161.0,8005.0,7348.0,1556.0,746.0,24,1
9132,1.0,26.0,48.0,940640.0,140833.0,19985.0,9494.0,23364.0,16572.0,31841.0,6407.0,25,1
7841,0.0,0.0,0.0,1056164.0,879435.0,178605.0,131122.0,40880.0,77274.0,65339.0,162892.0,24,1
2932,2.0,44.0,74.0,21277.0,22023.0,9148.0,7261.0,7391.0,5451.0,2602.0,3351.0,31,1
12319,5.0,57.0,50.0,770577.0,30860.0,8518.0,5325.0,6175.0,7600.0,6703.0,2232.0,24,0
8768,8.0,0.0,0.0,372031.0,133765.0,3253.0,14526.0,16230.0,20851.0,11201.0,12293.0,24,1
8304,4.0,0.0,0.0,597925.0,110071.0,40636.0,29695.0,41236.0,249654.0,281783.0,153215.0,24,1
1011,7.0,80.0,53.0,132084.0,33134.0,12635.0,8508.0,5114.0,49256.0,10624.0,8277.0,25,1
9441,3.0,14.0,48.0,78955.0,31856.0,5829.0,1820.0,2740.0,4637.0,7197.0,3858.0,25,1
3550,7.0,44.0,51.0,7002.0,15471.0,2950.0,6231.0,8542.0,7209.0,3713.0,4680.0,31,1
6678,1.0,53.0,74.0,540732.0,166103.0,58836.0,44210.0,21291.0,30677.0,9750.0,2994.0,24,1
8300,4.0,0.0,0.0,78311.0,15670.0,9003.0,8373.0,18147.0,169370.0,34608.0,24218.0,24,1
8598,6.0,0.0,0.0,331595.0,256646.0,20433.0,54475.0,41202.0,226235.0,298007.0,58574.0,24,1
7476,8.0,60.0,64.0,2135104.0,425492.0,210436.0,27193.0,35951.0,62947.0,46451.0,22438.0,24,1
9345,2.0,60.0,63.0,38183.0,15676.0,13862.0,13001.0,14013.0,21824.0,17820.0,10780.0,25,1
5996,6.0,30.0,40.0,48286.0,109553.0,5550.0,10183.0,36946.0,15496.0,9431.0,10945.0,24,1
12370,6.0,20.0,80.0,1952467.0,271452.0,100105.0,170659.0,57743.0,34441.0,33374.0,3231.0,24,0
11198,7.0,40.0,77.0,249926.0,33953.0,19448.0,7520.0,5621.0,2717.0,1072.0,960.0,25,1
7257,6.0,34.0,64.0,2035438.0,848272.0,565044.0,338426.0,189465.0,70468.0,84167.0,42804.0,24,1
11221,7.0,77.0,43.0,787731.0,93400.0,45266.0,34012.0,24486.0,26382.0,14821.0,7315.0,25,1
12611,8.0,24.0,53.0,1290222.0,183938.0,31628.0,40296.0,23443.0,21517.0,22806.0,18566.0,24,0
10872,4.0,27.0,37.0,845930.0,89034.0,46672.0,40107.0,23328.0,6003.0,3850.0,3694.0,25,1
5640,3.0,63.0,51.0,5391.0,17083.0,10764.0,13391.0,4662.0,13852.0,10841.0,2696.0,24,1
4501,4.0,35.0,60.0,1438458.0,687739.0,317109.0,252501.0,99406.0,93838.0,84710.0,19934.0,28,0
10981,5.0,26.0,97.0,591310.0,72937.0,74520.0,8028.0,10257.0,6079.0,2416.0,1178.0,25,1
4902,8.0,60.0,51.0,314859.0,149033.0,14294.0,7307.0,41977.0,29554.0,12786.0,3523.0,28,0
11440,9.0,40.0,51.0,537127.0,63293.0,13422.0,9558.0,9703.0,6135.0,19018.0,5572.0,25,1
1345,0.0,66.0,81.0,6134.0,8631.0,18423.0,3554.0,14156.0,8008.0,2298.0,3180.0,24,1
1444,1.0,54.0,70.0,759365.0,144092.0,28779.0,41761.0,70338.0,9947.0,19223.0,3387.0,24,1
3898,0.0,11.0,51.0,2625042.0,646424.0,17804.0,77273.0,51143.0,45953.0,66781.0,3894.0,28,0
3344,5.0,57.0,70.0,2459.0,12142.0,11364.0,3020.0,5105.0,3676.0,7004.0,3848.0,31,1
5414,1.0,84.0,48.0,33651.0,4479.0,2164.0,7660.0,7455.0,8178.0,6943.0,11206.0,24,1
12737,9.0,14.0,34.0,350799.0,47221.0,11103.0,15300.0,2005.0,3844.0,11411.0,542.0,24,0
2422,8.0,26.0,54.0,122749.0,217854.0,4226.0,6237.0,44969.0,6654.0,1363.0,2404.0,24,1
80,0.0,87.0,44.0,116823.0,56636.0,7451.0,15046.0,21773.0,62067.0,48305.0,17925.0,25,1
6177,7.0,53.0,43.0,178135.0,62220.0,35668.0,13413.0,22030.0,30613.0,6968.0,7812.0,24,1
10979,5.0,51.0,64.0,714830.0,394793.0,289596.0,86967.0,79676.0,70336.0,26060.0,40012.0,25,1
335,2.0,44.0,57.0,355514.0,102255.0,12718.0,4498.0,21497.0,27249.0,55385.0,21870.0,25,1
4292,3.0,0.0,0.0,517491.0,16183.0,2973.0,8414.0,4431.0,27050.0,4265.0,503.0,28,0
9210,1.0,54.0,61.0,1242612.0,354474.0,245476.0,64370.0,54312.0,93244.0,34432.0,21178.0,25,1
3508,7.0,29.0,53.0,261405.0,11436.0,7124.0,5959.0,17789.0,14190.0,10365.0,3814.0,31,1
1572,2.0,41.0,53.0,374516.0,58838.0,19422.0,8352.0,16100.0,6502.0,1872.0,4359.0,24,1
8763,8.0,0.0,0.0,539949.0,556334.0,135756.0,158864.0,91815.0,83910.0,95920.0,35640.0,24,1
11094,6.0,54.0,48.0,278281.0,19694.0,8641.0,3549.0,2219.0,4777.0,2649.0,1229.0,25,1
879,6.0,48.0,47.0,273333.0,27625.0,13249.0,4655.0,9965.0,18402.0,10930.0,3690.0,25,1
2692,0.0,78.0,57.0,8676.0,7143.0,8957.0,2227.0,5261.0,8437.0,4034.0,2332.0,31,1
10941,5.0,50.0,30.0,682387.0,453080.0,52070.0,46012.0,55386.0,62792.0,14707.0,21184.0,25,1
1509,1.0,30.0,69.0,93555.0,166304.0,22499.0,26584.0,9347.0,11125.0,3215.0,2439.0,24,1
1896,4.0,40.0,84.0,410008.0,113028.0,74686.0,90232.0,24890.0,13714.0,4501.0,5610.0,24,1
5218,0.0,48.0,64.0,134887.0,38699.0,39360.0,10341.0,23322.0,15727.0,7693.0,11078.0,24,1
9394,2.0,70.0,66.0,9512.0,14317.0,15504.0,11186.0,11983.0,13377.0,6205.0,10673.0,25,1
4110,1.0,60.0,54.0,112354.0,85947.0,24076.0,14623.0,19392.0,16774.0,2481.0,5031.0,28,0
6884,3.0,41.0,57.0,891351.0,835837.0,120388.0,74549.0,65118.0,43201.0,41461.0,8204.0,24,1
1845,4.0,44.0,64.0,259812.0,358129.0,31513.0,19534.0,28723.0,11360.0,13359.0,8553.0,24,1
111,0.0,38.0,75.0,482325.0,6062.0,5419.0,8736.0,1904.0,3279.0,7686.0,1367.0,25,1
472,3.0,61.0,40.0,1066899.0,280477.0,14027.0,36227.0,32889.0,78281.0,45137.0,16067.0,25,1
10187,9.0,50.0,44.0,52062.0,53429.0,5973.0,9797.0,37552.0,26834.0,16820.0,15201.0,25,1
11107,6.0,77.0,41.0,1038492.0,62965.0,23847.0,7457.0,23152.0,12024.0,6777.0,12470.0,25,1
7708,9.0,40.0,43.0,276097.0,11264.0,917.0,4131.0,2418.0,3007.0,2237.0,428.0,24,1
12297,5.0,51.0,78.0,1594791.0,334826.0,232306.0,73945.0,22023.0,48516.0,27514.0,44966.0,24,0
6290,8.0,27.0,60.0,113353.0,63040.0,30965.0,14536.0,14404.0,19459.0,19598.0,3622.0,24,1
4490,4.0,35.0,38.0,1595312.0,348153.0,25190.0,36766.0,40532.0,31787.0,20635.0,6119.0,28,0
10654,2.0,66.0,35.0,787431.0,29967.0,5997.0,4045.0,10064.0,6169.0,5618.0,5045.0,25,1
1183,9.0,50.0,35.0,733012.0,189044.0,28877.0,49818.0,26316.0,42598.0,97831.0,22641.0,25,1
4901,8.0,67.0,64.0,708845.0,83343.0,9929.0,17698.0,8249.0,7506.0,11925.0,4420.0,28,0
12089,3.0,37.0,51.0,47323.0,24416.0,3783.0,12447.0,2795.0,6965.0,2102.0,795.0,24,0
7930,1.0,0.0,0.0,432508.0,296573.0,43781.0,41134.0,10979.0,233663.0,274398.0,41335.0,24,1
7625,9.0,24.0,44.0,678309.0,528145.0,113675.0,27482.0,88711.0,27296.0,18459.0,2917.0,24,1
2108,6.0,27.0,48.0,10941.0,18040.0,19991.0,12477.0,25216.0,4455.0,2372.0,5242.0,24,1
3528,7.0,64.0,61.0,16333.0,3861.0,1549.0,2711.0,8918.0,7089.0,6398.0,4846.0,31,1
10587,2.0,60.0,50.0,760321.0,126211.0,21885.0,19749.0,9083.0,7289.0,7319.0,2558.0,25,1
8369,4.0,0.0,0.0,441240.0,230637.0,88882.0,18817.0,49367.0,642579.0,297077.0,77290.0,24,1
9727,5.0,37.0,67.0,1088267.0,49211.0,3988.0,15888.0,7919.0,11083.0,7641.0,6580.0,25,1
4707,6.0,35.0,40.0,1779076.0,863543.0,109015.0,34131.0,36733.0,27965.0,12517.0,5885.0,28,0
3233,5.0,57.0,54.0,81693.0,190196.0,21565.0,19879.0,47888.0,9611.0,15964.0,5733.0,31,1
11670,0.0,23.0,77.0,1029215.0,41971.0,5910.0,21897.0,9687.0,20840.0,11289.0,1098.0,24,0
9401,3.0,13.0,51.0,1461295.0,372676.0,17924.0,77448.0,28169.0,27119.0,41655.0,16728.0,25,1
2754,1.0,43.0,41.0,5042.0,14537.0,6608.0,8235.0,7984.0,4261.0,2178.0,2316.0,31,1
9639,4.0,50.0,34.0,30850.0,23863.0,8899.0,25725.0,9155.0,20619.0,14174.0,7803.0,25,1
4301,3.0,0.0,0.0,236383.0,21401.0,17797.0,4566.0,11146.0,62992.0,1634.0,472.0,28,0
6739,2.0,43.0,69.0,2297647.0,129651.0,98441.0,47684.0,29373.0,32457.0,6817.0,5301.0,24,1
3800,9.0,54.0,47.0,4429.0,14884.0,2839.0,9855.0,10634.0,6136.0,2020.0,6211.0,31,1
11450,9.0,35.0,38.0,607435.0,122303.0,14035.0,63938.0,36603.0,25761.0,9039.0,6210.0,25,1
5905,5.0,88.0,64.0,7524.0,9404.0,2129.0,5418.0,10215.0,11741.0,3156.0,2718.0,24,1
10977,5.0,47.0,50.0,1145545.0,22075.0,7646.0,14892.0,9435.0,6901.0,3133.0,1098.0,25,1
9680,5.0,35.0,43.0,537440.0,265717.0,163875.0,38212.0,13322.0,69897.0,68829.0,20423.0,25,1
11903,2.0,21.0,63.0,1320551.0,748078.0,171400.0,229836.0,21259.0,33851.0,86724.0,6057.0,24,0
12261,5.0,56.0,40.0,1412146.0,166257.0,16389.0,9758.0,10488.0,14317.0,14389.0,15633.0,24,0
5030,9.0,27.0,51.0,224121.0,42306.0,46284.0,17360.0,7603.0,8098.0,4124.0,1909.0,28,0
8871,9.0,0.0,0.0,54361.0,54167.0,4448.0,5025.0,6745.0,4154.0,5174.0,1980.0,24,1
1193,9.0,38.0,53.0,217223.0,149034.0,2662.0,50624.0,36024.0,13610.0,17356.0,16618.0,25,1
45,0.0,70.0,63.0,150690.0,14877.0,3795.0,3328.0,2292.0,4455.0,7051.0,1672.0,25,1
976,7.0,50.0,66.0,312357.0,122106.0,37622.0,44652.0,23361.0,56552.0,67199.0,25673.0,25,1
10389,0.0,78.0,63.0,13877.0,8361.0,8177.0,26076.0,10286.0,26579.0,2157.0,5369.0,25,1
5964,6.0,60.0,61.0,1286262.0,161891.0,83149.0,40458.0,34939.0,14992.0,11224.0,13775.0,24,1
1578,2.0,24.0,67.0,106194.0,21056.0,21139.0,15303.0,3024.0,4169.0,1680.0,1730.0,24,1
8370,4.0,0.0,0.0,198794.0,110685.0,44983.0,14089.0,40452.0,492237.0,228969.0,70786.0,24,1
3881,0.0,26.0,3.0,1151600.0,317937.0,58333.0,8119.0,15843.0,10149.0,14989.0,1542.0,28,0
5484,2.0,30.0,83.0,138581.0,29828.0,6387.0,10934.0,3599.0,1297.0,1742.0,1259.0,24,1
4118,1.0,53.0,56.0,223420.0,163275.0,28887.0,5635.0,11339.0,4821.0,7650.0,5004.0,28,0
1584,2.0,13.0,13.0,2078564.0,303487.0,10586.0,18682.0,14380.0,28038.0,11411.0,3282.0,24,1
10084,8.0,57.0,53.0,10623.0,12089.0,10350.0,15171.0,10290.0,37458.0,32526.0,18379.0,25,1
6802,2.0,51.0,67.0,508916.0,137197.0,36114.0,75610.0,27291.0,31668.0,15698.0,4736.0,24,1
10932,5.0,14.0,50.0,180200.0,25166.0,22725.0,34033.0,20456.0,4552.0,18926.0,2456.0,25,1
5493,2.0,54.0,83.0,165551.0,31498.0,11317.0,18443.0,14079.0,6511.0,7234.0,10900.0,24,1
7822,0.0,0.0,0.0,86839.0,102269.0,19136.0,38832.0,3699.0,28139.0,19745.0,17406.0,24,1
11068,6.0,35.0,43.0,1517325.0,802477.0,104171.0,32170.0,23253.0,37521.0,14627.0,15307.0,25,1
3780,9.0,30.0,75.0,3533.0,13748.0,21766.0,19624.0,5499.0,3538.0,2475.0,3152.0,31,1
4985,8.0,60.0,41.0,242819.0,40788.0,9810.0,17150.0,14894.0,5614.0,5698.0,2837.0,28,0
315,2.0,43.0,69.0,336364.0,29034.0,16584.0,11372.0,8153.0,8786.0,20042.0,7199.0,25,1
10986,5.0,29.0,38.0,209477.0,240097.0,41117.0,7008.0,7251.0,8093.0,2431.0,1523.0,25,1
7958,1.0,0.0,0.0,88047.0,104694.0,3216.0,32389.0,15927.0,102124.0,92882.0,18247.0,24,1
12159,4.0,40.0,38.0,1300335.0,290533.0,35343.0,52177.0,13690.0,23050.0,26921.0,4350.0,24,0
12774,9.0,57.0,38.0,1864494.0,30600.0,21674.0,15706.0,7523.0,48617.0,4302.0,958.0,24,0
12404,6.0,27.0,67.0,952549.0,676145.0,169802.0,38226.0,51515.0,78584.0,32581.0,7899.0,24,0
1624,2.0,43.0,69.0,206184.0,31698.0,31027.0,4072.0,3841.0,6248.0,462.0,1589.0,24,1
6821,2.0,70.0,75.0,288456.0,17192.0,13545.0,2328.0,4914.0,6165.0,2351.0,1240.0,24,1
4165,2.0,88.0,53.0,198757.0,21015.0,4405.0,4478.0,4544.0,4380.0,1532.0,1706.0,28,0
5920,5.0,43.0,70.0,1463048.0,116794.0,7645.0,6713.0,2799.0,2455.0,828.0,1215.0,24,1
9647,4.0,69.0,78.0,3922.0,14330.0,7334.0,13225.0,8555.0,16232.0,25944.0,12836.0,25,1
10946,5.0,57.0,50.0,1061650.0,39406.0,89008.0,33676.0,20178.0,38103.0,7587.0,6886.0,25,1
2998,3.0,35.0,43.0,9153.0,35115.0,6963.0,6902.0,9915.0,7574.0,2675.0,1536.0,31,1
11218,7.0,43.0,26.0,1544691.0,276780.0,7441.0,28628.0,29893.0,53759.0,14473.0,17224.0,25,1
9695,5.0,30.0,64.0,308793.0,74379.0,25701.0,37043.0,38944.0,26275.0,37182.0,15070.0,25,1
1071,8.0,100.0,61.0,1220738.0,193469.0,61903.0,28633.0,10386.0,78684.0,41892.0,28644.0,25,1
8126,3.0,0.0,0.0,91526.0,76691.0,16463.0,24373.0,56163.0,22883.0,24452.0,27953.0,24,1
5220,0.0,69.0,61.0,34487.0,36104.0,16676.0,11217.0,4223.0,14619.0,9371.0,21579.0,24,1
6378,9.0,44.0,57.0,672015.0,155715.0,59039.0,12062.0,15674.0,12033.0,12476.0,3593.0,24,1
2404,8.0,41.0,60.0,125186.0,172910.0,37087.0,7276.0,8631.0,12570.0,3593.0,1794.0,24,1
12232,5.0,26.0,17.0,1619621.0,938367.0,193303.0,79264.0,61034.0,64747.0,106246.0,55240.0,24,0
4851,7.0,44.0,51.0,144101.0,4277.0,3213.0,2648.0,2596.0,531.0,365.0,153.0,28,0
409,2.0,50.0,57.0,33210.0,16530.0,6343.0,4318.0,4254.0,2707.0,4737.0,864.0,25,1
6562,0.0,29.0,57.0,95673.0,44060.0,1569.0,1600.0,1377.0,2181.0,1394.0,408.0,24,1
37,0.0,51.0,50.0,480086.0,206751.0,11652.0,5005.0,7894.0,121856.0,47858.0,6963.0,25,1
8119,2.0,0.0,0.0,25592.0,30611.0,7939.0,16504.0,4626.0,195956.0,35039.0,41641.0,24,1
576,4.0,37.0,41.0,717587.0,654482.0,42807.0,23706.0,12014.0,48697.0,51530.0,44576.0,25,1
5202,0.0,87.0,61.0,4649.0,1835.0,719.0,6181.0,4858.0,8822.0,6057.0,2193.0,24,1
5936,5.0,84.0,74.0,11861.0,8456.0,6378.0,8478.0,6989.0,13360.0,12749.0,8173.0,24,1
10186,9.0,51.0,60.0,435230.0,11058.0,5298.0,4043.0,2429.0,8507.0,3777.0,9676.0,25,1
713,5.0,61.0,43.0,614814.0,25974.0,11018.0,1813.0,812.0,4983.0,3099.0,1226.0,25,1
10324,0.0,75.0,51.0,648667.0,95414.0,22461.0,7012.0,5182.0,7059.0,4584.0,2479.0,25,1
6389,9.0,29.0,67.0,74643.0,63200.0,14361.0,2728.0,6941.0,10740.0,1658.0,2382.0,24,1
1087,8.0,24.0,51.0,451906.0,207351.0,12391.0,31373.0,10342.0,24123.0,36456.0,14498.0,25,1
4129,2.0,60.0,40.0,837328.0,160936.0,17392.0,30855.0,23079.0,56750.0,16800.0,5872.0,28,0
2335,8.0,48.0,60.0,78363.0,53208.0,20273.0,4722.0,14684.0,2239.0,1049.0,667.0,24,1
7748,0.0,0.0,0.0,604955.0,77854.0,23312.0,11953.0,15282.0,8876.0,16371.0,23780.0,24,1
5562,2.0,41.0,60.0,17949.0,7111.0,10300.0,7376.0,10152.0,6050.0,4180.0,3909.0,24,1
4830,7.0,50.0,37.0,414736.0,186187.0,9780.0,28686.0,19029.0,29281.0,12235.0,5181.0,28,0
1454,1.0,37.0,51.0,221551.0,33637.0,14234.0,3313.0,4975.0,6739.0,860.0,871.0,24,1
5212,0.0,54.0,69.0,374803.0,17922.0,16278.0,15896.0,12646.0,11092.0,4992.0,5516.0,24,1
6885,3.0,26.0,60.0,678836.0,348725.0,19057.0,10651.0,13136.0,6736.0,12369.0,2156.0,24,1
11841,2.0,40.0,77.0,1091593.0,178502.0,363496.0,47728.0,46288.0,74002.0,35963.0,8917.0,24,0
881,6.0,56.0,38.0,913065.0,268586.0,24627.0,15153.0,43347.0,47306.0,19575.0,12307.0,25,1
1710,3.0,4.0,34.0,1788641.0,1561209.0,467145.0,230211.0,183644.0,90957.0,38813.0,15094.0,24,1
3784,9.0,44.0,57.0,4780.0,6544.0,4805.0,6505.0,15513.0,5622.0,4542.0,1271.0,31,1
4256,3.0,0.0,0.0,1526441.0,64738.0,38392.0,49616.0,12815.0,17916.0,12894.0,2882.0,28,0
5363,1.0,38.0,56.0,901592.0,215316.0,28669.0,81532.0,16185.0,17159.0,60410.0,27754.0,24,1
5364,1.0,20.0,66.0,1300956.0,366863.0,188415.0,109698.0,127741.0,18653.0,42900.0,41365.0,24,1
12661,8.0,91.0,48.0,160584.0,126237.0,7742.0,13206.0,11124.0,72583.0,12777.0,10915.0,24,0
2245,7.0,44.0,63.0,308893.0,177962.0,51235.0,6310.0,4096.0,4425.0,4067.0,2510.0,24,1
11437,9.0,47.0,50.0,1248922.0,957018.0,97560.0,209080.0,131166.0,123360.0,85053.0,35190.0,25,1
8724,7.0,0.0,0.0,25284.0,394895.0,57539.0,44932.0,39659.0,84828.0,191032.0,169478.0,24,1
9723,5.0,37.0,74.0,964398.0,64623.0,77091.0,14961.0,23390.0,31037.0,38033.0,36774.0,25,1
6994,3.0,51.0,44.0,743144.0,63845.0,21176.0,5817.0,4345.0,2981.0,2524.0,1902.0,24,1
11856,2.0,47.0,41.0,1537220.0,248696.0,30695.0,16118.0,23306.0,60449.0,31396.0,3981.0,24,0
7540,8.0,60.0,56.0,263742.0,295265.0,29280.0,4876.0,19026.0,28881.0,11928.0,3220.0,24,1
11469,9.0,27.0,50.0,688036.0,163473.0,68844.0,12599.0,13202.0,16777.0,5679.0,6796.0,25,1
239,1.0,38.0,64.0,1057077.0,85253.0,23782.0,27036.0,29616.0,56219.0,32341.0,25595.0,25,1
11894,2.0,37.0,51.0,1515963.0,371776.0,23059.0,74999.0,80322.0,64543.0,67417.0,2877.0,24,0
3038,3.0,30.0,75.0,5885.0,15872.0,9684.0,7514.0,5712.0,7814.0,3108.0,1055.0,31,1
8191,3.0,0.0,0.0,679224.0,261328.0,154829.0,160291.0,90445.0,285750.0,36798.0,40512.0,24,1
1597,2.0,48.0,41.0,1081100.0,45261.0,7060.0,4071.0,3483.0,2536.0,1962.0,152.0,24,1
11728,1.0,78.0,14.0,1047058.0,15151.0,30184.0,12586.0,4430.0,11445.0,7050.0,967.0,24,0
1097,8.0,50.0,44.0,1457303.0,774875.0,150937.0,14362.0,40447.0,81218.0,41937.0,32649.0,25,1
394,2.0,44.0,48.0,396174.0,255427.0,17809.0,48237.0,42781.0,41990.0,50784.0,27533.0,25,1
9239,1.0,41.0,60.0,367210.0,62072.0,11983.0,2719.0,3760.0,14343.0,12851.0,2961.0,25,1
1901,4.0,29.0,41.0,657155.0,812567.0,68163.0,33210.0,37548.0,29640.0,22951.0,28151.0,24,1
3070,3.0,30.0,77.0,1651.0,10943.0,20811.0,3736.0,4271.0,4687.0,2264.0,1460.0,31,1
11551,0.0,41.0,53.0,2668588.0,250068.0,48031.0,144719.0,45339.0,71683.0,43788.0,8778.0,24,0
1180,9.0,57.0,29.0,951897.0,56677.0,9551.0,5597.0,10246.0,7107.0,12545.0,9578.0,25,1
6558,0.0,43.0,43.0,180948.0,110137.0,6199.0,10423.0,4759.0,9618.0,4408.0,677.0,24,1
1911,4.0,66.0,48.0,227123.0,146378.0,44355.0,58817.0,34614.0,46728.0,12587.0,15425.0,24,1
4874,7.0,67.0,43.0,1385572.0,80297.0,12735.0,10531.0,20476.0,6577.0,6792.0,1828.0,28,0
8376,4.0,0.0,0.0,975894.0,994759.0,91058.0,14991.0,139184.0,208120.0,82775.0,73418.0,24,1
2214,7.0,40.0,64.0,273825.0,88321.0,8359.0,6084.0,10192.0,6618.0,1814.0,789.0,24,1
7932,1.0,0.0,0.0,254710.0,175770.0,17754.0,9609.0,8534.0,262003.0,289016.0,26042.0,24,1
2781,1.0,44.0,63.0,16554.0,24000.0,4953.0,10297.0,4538.0,8032.0,4320.0,2197.0,31,1
5426,1.0,20.0,48.0,388889.0,46338.0,15339.0,5971.0,4752.0,2503.0,1010.0,576.0,24,1
8124,3.0,0.0,0.0,898595.0,418210.0,103543.0,130235.0,40357.0,89856.0,32255.0,91804.0,24,1
8239,4.0,0.0,0.0,1056523.0,409347.0,50291.0,45347.0,44996.0,147558.0,100669.0,43926.0,24,1
11755,1.0,43.0,51.0,74712.0,694.0,4515.0,4913.0,1011.0,10653.0,734.0,384.0,24,0
3187,4.0,53.0,75.0,5946.0,8503.0,7615.0,10985.0,4776.0,8889.0,6725.0,3943.0,31,1
10125,8.0,53.0,8.0,2842346.0,153497.0,45873.0,53865.0,31591.0,31350.0,29993.0,32454.0,25,1
8296,4.0,0.0,0.0,350903.0,202429.0,69854.0,45334.0,30720.0,409109.0,454106.0,113859.0,24,1
8395,5.0,0.0,0.0,948210.0,67338.0,23682.0,34218.0,10419.0,16175.0,26871.0,19950.0,24,1
11638,0.0,20.0,64.0,618756.0,33199.0,39981.0,24612.0,5929.0,19469.0,3927.0,2006.0,24,0
3693,8.0,70.0,75.0,6909.0,6868.0,3082.0,15616.0,15658.0,7287.0,1689.0,2980.0,31,1
3678,8.0,60.0,70.0,5813.0,6299.0,1478.0,5898.0,9777.0,6155.0,2150.0,4102.0,31,1
1691,3.0,8.0,10.0,82822.0,32464.0,3561.0,1045.0,2261.0,2446.0,2094.0,446.0,24,1
5199,0.0,66.0,66.0,6286.0,2728.0,1153.0,5566.0,2352.0,3203.0,3416.0,1907.0,24,1
4767,6.0,56.0,41.0,967144.0,365069.0,119325.0,87642.0,66857.0,41684.0,34271.0,8714.0,28,0
